"Main_gene_name","frequency"
"CEP290",3
"CEP41",3
"CETP",3
"CHM",3
"CHRNB1",3
"CILK1",3
"CIT",3
"CIZ1",3
"CLDN19",3
"CLPP",3
"COL4A2",3
"COLGALT1",3
"COQ6",3
"COX15",3
"CRTAP",3
"CRYBA4",3
"CSF3R",3
"CUL7",3
"CYFIP2",3
"DBH",3
"DBT",3
"DCHS1",3
"DCLRE1C",3
"DIS3L2",3
"DNA2",3
"DNAH1",3
"DNAH11",3
"DNAH17",3
"DNAJB6",3
"DPM1",3
"DPYD",3
"DRAM2",3
"DUOX2",3
"DYM",3
"EDARADD",3
"EDN1",3
"EDN3",3
"EEF1A2",3
"EFEMP2",3
"EFTUD2",3
"EPHA2",3
"ERF",3
"ETFA",3
"ETV6",3
"FA2H",3
"FAM111B",3
"FAM20A",3
"FANCC",3
"FANCD2",3
"FGF17",3
"FKBP10",3
"FMR1",3
"FOXG1",3
"FOXP1",3
"FREM2",3
"FTO",3
"FUCA1",3
"GABRA5",3
"GANAB",3
"GBA2",3
"GCLC",3
"GDF2",3
"GK",3
"GLE1",3
"GLS",3
"GNAT1",3
"GNMT",3
"GNPAT",3
"GNPTG",3
"GNS",3
"GREM2",3
"GRHL3",3
"GRID2",3
"GRM1",3
"GYG1",3
"H3C1",3
"HADH",3
"HAVCR2",3
"HCN4",3
"HES7",3
"HNRNPH2",3
"HPCA",3
"HPD",3
"HR",3
"IGSF1",3
"IL11RA",3
"ING1",3
"INSL3",3
"ITGA3",3
"ITGB6",3
"KANK2",3
"KATNB1",3
"KBTBD13",3
"KCNJ13",3
"KCNN3",3
"KCNN4",3
"KCNQ3",3
"KDM1A",3
"KLKB1",3
"KRT25",3
"KRT74",3
"KRT8",3
"KRT81",3
"LARS2",3
"LIPT1",3
"LIPT2",3
"LMNB2",3
"LPAR6",3
"LRTOMT",3
"MANBA",3
"MAP2K1",3
"MAP3K1",3
"MAPK8IP3",3
"MAPRE2",3
"MATR3",3
"MDH2",3
"MECOM",3
"MECR",3
"MED13",3
"MED13L",3
"MEGF10",3
"MEGF8",3
"MERTK",3
"MFSD2A",3
"MGAT2",3
"MIPEP",3
"MMADHC",3
"MOCOS",3
"MPDU1",3
"MPO",3
"MRAS",3
"MRPS2",3
"MTFMT",3
"MVD",3
"MYCN",3
"MYLK",3
"MYMK",3
"MYO6",3
"NAA10",3
"NARS2",3
"NCAPG2",3
"NDUFAF3",3
"NDUFAF5",3
"NDUFB8",3
"NDUFS2",3
"NDUFS8",3
"NDUFV1",3
"NEK1",3
"NEK8",3
"NEK9",3
"NFIB",3
"NKAP",3
"NLRC4",3
"NOBOX",3
"NOTCH1",3
"NSDHL",3
"NTRK3",3
"NUP133",3
"NUP93",3
"OPN1LW",3
"P2RY12",3
"PADI3",3
"PCBD1",3
"PDZD7",3
"PFN1",3
"PGAM2",3
"PGAP3",3
"PHACTR1",3
"PIBF1",3
"PIK3R2",3
"PJVK",3
"PLEKHG5",3
"PLN",3
"PLOD2",3
"PLPBP",3
"PMP2",3
"PNPO",3
"POGLUT1",3
"POLA1",3
"POLE",3
"POMGNT2",3
"POMK",3
"POP1",3
"PPARG",3
"PRICKLE1",3
"PRMT7",3
"PROM1",3
"PSAT1",3
"PSMB8",3
"PSTPIP1",3
"PTDSS1",3
"PUM1",3
"RAB27A",3
"RAD21",3
"RAD51",3
"RANBP2",3
"RASA1",3
